SR Number	Order Code	Supplier	Quantity	Value	Device	Board	Parts
11	1465988	Farnell	11		LEDCHIP-LED0603	mtr	LED1,LED2,LED3,LED4,LED5,LED6,LED10,LED11,LED12,LED13,LED14
5	117234	Farnell	12	1k	R-EU_R0603	mtr	R7,R13,R14,R15,R16,R17,R21,R22,R23,R24,R27, R18
30	1467959	Farnell	4	2N7002	2N7002	mtr	Q1,Q2,Q3,Q4
26	1298442	Farnell	1	12cwr04fntrpbf-diode	FFB20UP20DN-DIODE	mtr	D5
50	8067538	Farnell	2	15mR	R-EU_M1206	mtr	R1,R2
25	9712887	Farnell	1	32Khz	CRYSTALTC26H	mtr	X1
45	9332162	Farnell	1	47K	R-EU_R0603	mtr	R10
34	9451072	Farnell	1	47uF	CPOL-EUE1.8-4	mtr	C8
48	9331689	Farnell	4	100	R-EU_R0603	mtr	R11,R12,R19,R20
4	117236	Farnell	6	100K	R-EU_R0603	mtr	R3,R4,R5,R6,R8,R9
29	1288255	Farnell	7	100nf	C-0603	mtr	C1,C2,C3,C4,C5,C6,C7
8	1236217	Farnell	4	74153NS	74153NS	mtr	IC2,IC3,IC4,IC5
27	1081206	Farnell	4	BAT754S	BAT754S	mtr	D1,D2,D3,D4
7	3882391	Farnell	3	CAMCON2W	CAMCON2W	mtr	U$1,U$2,U$3
1	1791826	Phoenix Contact 	5	FB0	CAGECLAMP	mtr	CON2,CON3,CON4,CON7,CON8
2	1791868	Phoenix Contact	3	FB2	Cage Clamp end	mtr	CON5, CON6, CON9
63	1324786	Farnell	4	FDD8882	FDD8882	mtr	Q5,Q6,Q7,Q8
49	MAX4069	Maxim	2	MAX4069	MAX4069	mtr	IC6,IC7
37	3938335	Farnell	1	MODULE_CON	MODULE_CON	mtr	CON1
44	296-21446-1-ND	Digikey-uk	1	MSP430F2254	MSP430F2254	mtr	IC1
9	9846263	Farnell	4	NDS8435A	NDS8435A	mtr	Q13,Q14,Q15,Q16
35	3418303	Farnell	1	SBW	PINHD-1X4	mtr	JP1
