SR Number	Order Code	Supplier	Quantity	Value	Device	Board	Parts	
12	1100347	Farnell	4	0.04R	R-EU_R2512	pwr	R25,R26,R28,R30	
33	1414037	Farnell	3	0.47u	C-EUC0603	pwr	C4,C9,C16	
18	1463496	Farnell	3	09INDUCTOR	09INDUCTOR	pwr	U$1,U$2,U$3	
39	3801305	Farnell	1	09SWITCH	09SWITCH	pwr	U$10	
29	1288255	Farnell	7	100n	C-EUC0603	pwr	C5,C10,C12,C17,C18,C22, C19	
32	1469749	Farnell	2	10k	R-EU_R0603	pwr	R23,R32	
43	1463377	Farnell	1	10u	C-EUC0805	pwr	XB3	
26	1298442	Farnell	1	12cwr04fntrpbf-diode	FFB20UP20DN-DIODE	pwr	D4	
5	117234	Farnell	10	1k	R-EU_R0603	pwr	R4,R5,R6,R7,R8, R12, R14,R15,R22,R27	
4	117236	Farnell	13	100K	R-EU_R0603	pwr	R1,R2,R3,R18, R9,R10,R11,R29,R13,R17,R19,R20,R31	
14	1580568	Farnell	3	220u	CPOL-EUE	pwr	C3,C7,C8	
31	612534	Farnell	1	2k7	R-EU_R0603	pwr	R24	
30	1467959	Farnell	3	2N7002	2N7002	pwr	Q4,Q5,Q6	
64	9330984	Farnell	1	30k	R-EU_R0603	pwr	R16	
60	9238549	Farnell	2	3k3	R-EU_R0603	pwr	R33,R34	
17	9694390	Farnell	3	68u	CPOL-EUE	pwr	C1,C2,C6	
na	na	na	15	BODGEPLATE1	BODGEPLATE1	pwr	U$13,U$14,U$16,U$17,U$18,U$27,U$28,U$29,U$30,U$31,U$32,U$37,U$38,U$39,U$40	
7	3882391	Farnell	6	CAMCON2W	CAMCON2W	pwr	U$5,U$6,U$7,U$8,U$11,USBPOWER,	
15	1217037	Farnell	1	charger in	SCD-014A	pwr	CON-CHGIN	
6	3882408	Farnell	1	dhrgrun	CAMCON3W	pwr	U$4	
10	9846204	Farnell	3	FDS4435	P-MOSFET-SO8	pwr	Q1,Q2,Q3	
54	MAX1626	Digikey-uk	3	MAX1626ESA+	MAX1626ESA+	pwr	IC2,IC3,IC4	
49	MAX4069	Maxim	1	MAX4069	MAX4069	pwr	IC5	
37	3938335	Farnell	4	MODULE_CON	MODULE_CON	pwr	CON1,CON2,CON3,CON4	
47	296-16842-ND	Digikey-uk	1	MSP430F169	MSP430F169	pwr	U$9	
na	na	na	1	na!	R-EU_R0603	pwr	R21	
56	9689605	Farnell	1	SMT2X7	SMT2X7	pwr	U$24	
55	1094018	Farnell	1	SRM-1C-SL-5VDCRELAY	SRM-1C-SL-5VDCRELAY	pwr	RL1	
52	1109732	Farnell	2	XBEE	XBEE	pwr	XB3	
13	1463231	Farnell	3		DIODE-SMC	pwr	D5,D6,D7	
na	na	na	5	na!	C-EUC0603	pwr	C15,C20,C21,C23,C24	
65	1640891	Farnell	1	na!	CRYSTALSM49	pwr	Q8	
na	na	na	2	na!	CRYSTALTC26H	pwr	Q9, Q7	8m sm 
19	1162740	Farnell	1		SH22,5	pwr	F1	
53	636563	Farnell	1		PINHD-1X7	pwr	CON-SLUG	
11	1465988	Farnell	10		LEDCHIP-LED0603	pwr	LED1,LED2,LED8,LED9,LED10,LED11,LED12,LED13,LED14,LED15	
58	9471600	Farnell	1		DP04	pwr	S1	
na	na	na	1	na!	PINHD-1X3		JP1	
